                              Before  execution          After  execution

    HEX     HEX   HEX     HEX    HEX    HEX    HEX    HEX    HEX    HEX    HEX

     PC      BR    IR     TOS S[TOS]     EA   (EA)    TOS S[TOS]     EA   (EA)

      0      0     13      0      0      0      0      1     13      0     13
      1      0   dc12      1     13     12      0      0      0     12     13
      2      0   d816      0      0     12     13      1     10     16     10
      3      0   b813      1     10     16     10      2      0     13      0
      4      0   c011      2      0     13      0      1     10     11     18
      5      0   9814      1     10     11     18      1      f     14      1
      6      0   dc16      1      f     14      1      0      0     16      f
      7      0   d812      0      0     16      f      1     13     12     13
      8      0   a415      1     13     12     13      1      1     15      2
      9      0   dc17      1      1     15      2      0      0     17      1
      a      0   d817      0      0     17      1      1      1     17      1
      b      0   9c17      1      1     17      1      1      1     17      1
      c      0     14      1      1     17      0      0      0     17      1
      d      0   d812      0      0     17      1      1     13     12     13
      e      0      b      1     13     12      0      1      9     12     13
      f      0   dc12      1      9     12     13      0      0     12      9
     10      0   bc02      0      0     12      9      0      0      2   d816
      2      0   d816      0      0      2   d816      1      f     16      f
      3      0   b813      1      f     16      f      2      0     13      0
      4      0   c011      2      0     13      0      1      f     11     18
      5      0   9814      1      f     11     18      1      e     14      1
      6      0   dc16      1      e     14      1      0      0     16      e
      7      0   d812      0      0     16      e      1      9     12      9
      8      0   a415      1      9     12      9      1      1     15      2
      9      0   dc17      1      1     15      2      0      0     17      1
      a      0   d817      0      0     17      1      1      1     17      1
      b      0   9c17      1      1     17      1      1      1     17      1
      c      0     14      1      1     17      0      0      0     17      1
      d      0   d812      0      0     17      1      1      9     12      9
      e      0      b      1      9     12      0      1      4     12      9
      f      0   dc12      1      4     12      9      0      0     12      4
     10      0   bc02      0      0     12      4      0      0      2   d816
      2      0   d816      0      0      2   d816      1      e     16      e
      3      0   b813      1      e     16      e      2      0     13      0
      4      0   c011      2      0     13      0      1      e     11     18
      5      0   9814      1      e     11     18      1      d     14      1
      6      0   dc16      1      d     14      1      0      0     16      d
      7      0   d812      0      0     16      d      1      4     12      4
      8      0   a415      1      4     12      4      1      0     15      2
      9      0   dc17      1      0     15      2      0      0     17      0
