                              Before  execution          After  execution

    HEX     HEX   HEX     HEX    HEX    HEX    HEX    HEX    HEX    HEX    HEX
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      4     12      4
      e      0      b      1      4     12      0      1      2     12      4
      f      0   dc12      1      2     12      4      0      0     12      2
     10      0   bc02      0      0     12      2      0      0      2   d816
      2      0   d816      0      0      2   d816      1      d     16      d
      3      0   b813      1      d     16      d      2      0     13      0
      4      0   c011      2      0     13      0      1      d     11     18
      5      0   9814      1      d     11     18      1      c     14      1
      6      0   dc16      1      c     14      1      0      0     16      c
      7      0   d812      0      0     16      c      1      2     12      2
      8      0   a415      1      2     12      2      1      0     15      2
      9      0   dc17      1      0     15      2      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      2     12      2
      e      0      b      1      2     12      0      1      1     12      2
      f      0   dc12      1      1     12      2      0      0     12      1
     10      0   bc02      0      0     12      1      0      0      2   d816
      2      0   d816      0      0      2   d816      1      c     16      c
      3      0   b813      1      c     16      c      2      0     13      0
      4      0   c011      2      0     13      0      1      c     11     18
      5      0   9814      1      c     11     18      1      b     14      1
      6      0   dc16      1      b     14      1      0      0     16      b
      7      0   d812      0      0     16      b      1      1     12      1
      8      0   a415      1      1     12      1      1      1     15      2
      9      0   dc17      1      1     15      2      0      0     17      1
      a      0   d817      0      0     17      1      1      1     17      1
      b      0   9c17      1      1     17      1      1      1     17      1
      c      0     14      1      1     17      0      0      0     17      1
      d      0   d812      0      0     17      1      1      1     12      1
      e      0      b      1      1     12      0      1      0     12      1
      f      0   dc12      1      0     12      1      0      0     12      0
     10      0   bc02      0      0     12      0      0      0      2   d816
      2      0   d816      0      0      2   d816      1      b     16      b
      3      0   b813      1      b     16      b      2      0     13      0
      4      0   c011      2      0     13      0      1      b     11     18
      5      0   9814      1      b     11     18      1      a     14      1
      6      0   dc16      1      a     14      1      0      0     16      a
      7      0   d812      0      0     16      a      1      0     12      0
      8      0   a415      1      0     12      0      1      0     15      2
      9      0   dc17      1      0     15      2      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12      0
      e      0      b      1      0     12      0      1      0     12      0
      f      0   dc12      1      0     12      0      0      0     12      0
     10      0   bc02      0      0     12      0      0      0      2   d816
      2      0   d816      0      0      2   d816      1      a     16      a
      3      0   b813      1      a     16      a      2      0     13      0
      4      0   c011      2      0     13      0      1      a     11     18
      5      0   9814      1      a     11     18      1      9     14      1
      6      0   dc16      1      9     14      1      0      0     16      9
      7      0   d812      0      0     16      9      1      0     12      0
      8      0   a415      1      0     12      0      1      0     15      2
      9      0   dc17      1      0     15      2      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12      0
      e      0      b      1      0     12      0      1      0     12      0
      f      0   dc12      1      0     12      0      0      0     12      0
     10      0   bc02      0      0     12      0      0      0      2   d816
      2      0   d816      0      0      2   d816      1      9     16      9
      3      0   b813      1      9     16      9      2      0     13      0
      4      0   c011      2      0     13      0      1      9     11     18
      5      0   9814      1      9     11     18      1      8     14      1
      6      0   dc16      1      8     14      1      0      0     16      8
      7      0   d812      0      0     16      8      1      0     12      0
      8      0   a415      1      0     12      0      1      0     15      2
      9      0   dc17      1      0     15      2      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12      0
      e      0      b      1      0     12      0      1      0     12      0
      f      0   dc12      1      0     12      0      0      0     12      0
     10      0   bc02      0      0     12      0      0      0      2   d816
      2      0   d816      0      0      2   d816      1      8     16      8
      3      0   b813      1      8     16      8      2      0     13      0
      4      0   c011      2      0     13      0      1      8     11     18
      5      0   9814      1      8     11     18      1      7     14      1
      6      0   dc16      1      7     14      1      0      0     16      7
      7      0   d812      0      0     16      7      1      0     12      0
      8      0   a415      1      0     12      0      1      0     15      2
      9      0   dc17      1      0     15      2      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12      0
      e      0      b      1      0     12      0      1      0     12      0
      f      0   dc12      1      0     12      0      0      0     12      0
     10      0   bc02      0      0     12      0      0      0      2   d816
      2      0   d816      0      0      2   d816      1      7     16      7
      3      0   b813      1      7     16      7      2      0     13      0
      4      0   c011      2      0     13      0      1      7     11     18
      5      0   9814      1      7     11     18      1      6     14      1
      6      0   dc16      1      6     14      1      0      0     16      6
      7      0   d812      0      0     16      6      1      0     12      0
      8      0   a415      1      0     12      0      1      0     15      2
      9      0   dc17      1      0     15      2      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12      0
      e      0      b      1      0     12      0      1      0     12      0
      f      0   dc12      1      0     12      0      0      0     12      0
     10      0   bc02      0      0     12      0      0      0      2   d816
      2      0   d816      0      0      2   d816      1      6     16      6
      3      0   b813      1      6     16      6      2      0     13      0
      4      0   c011      2      0     13      0      1      6     11     18
      5      0   9814      1      6     11     18      1      5     14      1
      6      0   dc16      1      5     14      1      0      0     16      5
      7      0   d812      0      0     16      5      1      0     12      0
      8      0   a415      1      0     12      0      1      0     15      2
      9      0   dc17      1      0     15      2      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12      0
      e      0      b      1      0     12      0      1      0     12      0
      f      0   dc12      1      0     12      0      0      0     12      0
     10      0   bc02      0      0     12      0      0      0      2   d816
      2      0   d816      0      0      2   d816      1      5     16      5
      3      0   b813      1      5     16      5      2      0     13      0
      4      0   c011      2      0     13      0      1      5     11     18
      5      0   9814      1      5     11     18      1      4     14      1
      6      0   dc16      1      4     14      1      0      0     16      4
      7      0   d812      0      0     16      4      1      0     12      0
      8      0   a415      1      0     12      0      1      0     15      2
      9      0   dc17      1      0     15      2      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12      0
      e      0      b      1      0     12      0      1      0     12      0
      f      0   dc12      1      0     12      0      0      0     12      0
     10      0   bc02      0      0     12      0      0      0      2   d816
      2      0   d816      0      0      2   d816      1      4     16      4
      3      0   b813      1      4     16      4      2      0     13      0
      4      0   c011      2      0     13      0      1      4     11     18
      5      0   9814      1      4     11     18      1      3     14      1
      6      0   dc16      1      3     14      1      0      0     16      3
      7      0   d812      0      0     16      3      1      0     12      0
      8      0   a415      1      0     12      0      1      0     15      2
      9      0   dc17      1      0     15      2      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12      0
      e      0      b      1      0     12      0      1      0     12      0
      f      0   dc12      1      0     12      0      0      0     12      0
     10      0   bc02      0      0     12      0      0      0      2   d816
      2      0   d816      0      0      2   d816      1      3     16      3
      3      0   b813      1      3     16      3      2      0     13      0
      4      0   c011      2      0     13      0      1      3     11     18
      5      0   9814      1      3     11     18      1      2     14      1
      6      0   dc16      1      2     14      1      0      0     16      2
      7      0   d812      0      0     16      2      1      0     12      0
      8      0   a415      1      0     12      0      1      0     15      2
      9      0   dc17      1      0     15      2      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12      0
      e      0      b      1      0     12      0      1      0     12      0
      f      0   dc12      1      0     12      0      0      0     12      0
     10      0   bc02      0      0     12      0      0      0      2   d816
      2      0   d816      0      0      2   d816      1      2     16      2
      3      0   b813      1      2     16      2      2      0     13      0
      4      0   c011      2      0     13      0      1      2     11     18
      5      0   9814      1      2     11     18      1      1     14      1
      6      0   dc16      1      1     14      1      0      0     16      1
      7      0   d812      0      0     16      1      1      0     12      0
      8      0   a415      1      0     12      0      1      0     15      2
      9      0   dc17      1      0     15      2      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12      0
      e      0      b      1      0     12      0      1      0     12      0
      f      0   dc12      1      0     12      0      0      0     12      0
     10      0   bc02      0      0     12      0      0      0      2   d816
      2      0   d816      0      0      2   d816      1      1     16      1
      3      0   b813      1      1     16      1      2      0     13      0
      4      0   c011      2      0     13      0      1      1     11     18
      5      0   9814      1      1     11     18      1      0     14      1
      6      0   dc16      1      0     14      1      0      0     16      0
      7      0   d812      0      0     16      0      1      0     12      0
      8      0   a415      1      0     12      0      1      0     15      2
      9      0   dc17      1      0     15      2      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12      0
      e      0      b      1      0     12      0      1      0     12      0
      f      0   dc12      1      0     12      0      0      0     12      0
     10      0   bc02      0      0     12      0      0      0      2   d816
      2      0   d816      0      0      2   d816      1      0     16      0
      3      0   b813      1      0     16      0      2      1     13      0
      4      0   c011      2      1     13      0      1      0     11     18
     11      0     18      1      0     11      0
