                              Before  execution          After  execution

    HEX     HEX   HEX     HEX    HEX    HEX    HEX    HEX    HEX    HEX    HEX

     PC      BR    IR     TOS S[TOS]     EA   (EA)    TOS S[TOS]     EA   (EA)

     18      0     13      0      0      0      0      1      d      0     13
     19      0   dc20      1      d     20      0      0      0     20      0
     1a      0   d820      0      0     20      0      1      d     20      0
     1b      0   dc22      1      d     20      0      0      0     22      0
     1c      0   d822      0      0     22      0      1      d     22      0
     1d      0   b023      1      d     22      0      2      1     23      0
     1e      0   c000      2      1     23      0      1      d      0     13
      0      0   d821      1      d      0     13      2      a     21      0
      1      0      9      2      a     21      0      1      3     21      0
      2      0   dc24      1      3     21      0      0      0     24      0
      3      0   d825      0      0     24      0      1      0     25      0
      4      0   d821      1      0     25      0      2      a     21      0
      5      0      7      2      a     21      0      1      0     21      0
      6      0   d824      1      0     21      0      2      3     24      0
      7      0      5      2      3     24      0      1      3     24      0
      8      0   dc25      1      3     24      0      0      0     25      0
      9      0   d822      0      0     25      0      1      d     22      0
      a      0   d821      1      d     22      0      2      a     21      0
      b      0      8      2      a     21      0      1      1     21      0
      c      0   dc22      1      1     21      0      0      0     22      0
      d      0   d822      0      0     22      0      1      1     22      0
      e      0   b023      1      1     22      0      2      1     23      0
      f      0   c000      2      1     23      0      1      1      0     13
      0      0   d821      1      1      0     13      2      a     21      0
      1      0      9      2      a     21      0      1      1     21      0
      2      0   dc24      1      1     21      0      0      0     24      0
      3      0   d825      0      0     24      0      1      3     25      0
      4      0   d821      1      3     25      0      2      a     21      0
      5      0      7      2      a     21      0      1     1e     21      0
      6      0   d824      1     1e     21      0      2      1     24      0
      7      0      5      2      1     24      0      1     1f     24      0
      8      0   dc25      1     1f     24      0      0      0     25      0
      9      0   d822      0      0     25      0      1      1     22      0
      a      0   d821      1      1     22      0      2      a     21      0
      b      0      8      2      a     21      0      1      0     21      0
      c      0   dc22      1      0     21      0      0      0     22      0
      d      0   d822      0      0     22      0      1      0     22      0
      e      0   b023      1      0     22      0      2      0     23      0
      f      0   c000      2      0     23      0      1      0      0     13
     10      0   b823      1      0      0     13      2      1     23      0
     11      0   c012      2      1     23      0      1      0     12      0
     12      0   dc22      1      0     12      1      0      0     22      0
     13      0   d825      0      0     22      0      1     1f     25      0
     14      0   d820      1     1f     25      0      2      d     20      0
     15      0   1414      2      d     20      0      0      0     20      0
     16      0     18      0      0     20      0
