                              Before  execution          After  execution

    HEX     HEX   HEX     HEX    HEX    HEX    HEX    HEX    HEX    HEX    HEX

     PC      BR    IR     TOS S[TOS]     EA   (EA)    TOS S[TOS]     EA   (EA)

      5      0   9814      1      8     11     18      1      7     14      0
      6      0   dc16      1      7     14      0      0      0     16    f0a
      7      0   d812      0      0     16    f0a      1      0     12      b
      8      0   a415      1      0     12      b      1      0     15      0
      9      0   dc17      1      0     15      0      0      0     17     fa
      a      0   d817      0      0     17     fa      1      0     17     fa
      b      0   9c17      1      0     17     fa      1      0     17     fa
      c      0     14      1      0     17      0      0      0     17     fa
      d      0   d812      0      0     17     fa      1      0     12      b
      e      0      b      1      0     12      0      1      0     12      b
      f      0   dc12      1      0     12      b      0      0     12      b
     10      0   bc02      0      0     12      b      0      0      2   b01b
      2      0   d816      0      0      2   b01b      1      7     16    f0a
      3      0   b813      1      7     16    f0a      2      0     13      3
      4      0   c011      2      0     13      0      1      7     11      0
      5      0   9814      1      7     11      0      1      6     14      0
      6      0   dc16      1      6     14      0      0      0     16      0
      7      0   d812      0      0     16      0      1      0     12      0
      8      0   a415      1      0     12      0      1      0     15      0
      9      0   dc17      1      0     15      0      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12      0
      e      0      b      1      0     12      0      1      0     12      0
      f      0   dc12      1      0     12      0      0      0     12      0
     10      0   bc02      0      0     12      0      0      0      2   d81c
      2      0   d816      0      0      2   d81c      1      6     16      0
      3      0   b813      1      6     16      0      2      0     13      0
      4      0   c011      2      0     13      0      1      6     11      0
      5      0   9814      1      6     11      0      1      5     14      0
      6      0   dc16      1      5     14      0      0      0     16      0
      7      0   d812      0      0     16      0      1      0     12      0
      8      0   a415      1      0     12      0      1      0     15      0
      9      0   dc17      1      0     15      0      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12      0
      e      0      b      1      0     12      0      1      0     12      0
      f      0   dc12      1      0     12      0      0      0     12      0
     10      0   bc02      0      0     12      0      0      0      2   d81c
      2      0   d816      0      0      2   d81c      1      5     16      0
      3      0   b813      1      5     16      0      2      0     13      0
      4      0   c011      2      0     13      0      1      5     11      0
      5      0   9814      1      5     11      0      1      4     14      0
      6      0   dc16      1      4     14      0      0      0     16      0
      7      0   d812      0      0     16      0      1      0     12      0
      8      0   a415      1      0     12      0      1      0     15      0
      9      0   dc17      1      0     15      0      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12     15
      e      0      b      1      0     12      0      1      0     12     15
      f      0   dc12      1      0     12     15      0      0     12     15
     10      0   bc02      0      0     12     15      0      0      2   d81c
      2      0   d816      0      0      2   d81c      1      4     16      2
      3      0   b813      1      4     16      2      2      0     13      0
      4      0   c011      2      0     13      0      1      4     11   dc1b
      5      0   9814      1      4     11   dc1b      1      3     14      9
      6      0   dc16      1      3     14      9      0      0     16      2
      7      0   d812      0      0     16      2      1      0     12     15
      8      0   a415      1      0     12     15      1      0     15      9
      9      0   dc17      1      0     15      9      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12     15
      e      0      b      1      0     12      0      1      0     12     15
      f      0   dc12      1      0     12     15      0      0     12     15
     10      0   bc02      0      0     12     15      0      0      2   d81c
      2      0   d816      0      0      2   d81c      1      3     16      2
      3      0   b813      1      3     16      2      2      0     13      0
      4      0   c011      2      0     13      0      1      3     11   dc1b
      5      0   9814      1      3     11   dc1b      1      2     14      9
      6      0   dc16      1      2     14      9      0      0     16      2
      7      0   d812      0      0     16      2      1      0     12     15
      8      0   a415      1      0     12     15      1      0     15      9
      9      0   dc17      1      0     15      9      0      0     17      0
      a      0   d817      0      0     17      0      1      0     17      0
      b      0   9c17      1      0     17      0      1      0     17      0
      c      0     14      1      0     17      0      0      0     17      0
      d      0   d812      0      0     17      0      1      0     12     15
