                              Before  execution          After  execution

    HEX     HEX   HEX     HEX    HEX    HEX    HEX    HEX    HEX    HEX    HEX

     PC      BR    IR     TOS S[TOS]     EA   (EA)    TOS S[TOS]     EA   (EA)

      0      0      0      0      0      0      0      0      0      0      0
      1      0     13      0      0      0      0      1      2      0      0
      2      0     13      1      2      0      0      2     10      0      0
      3      0      d      2     10      0      0      3      1      0      0
      4      0   c028      3      1      0      0      2     10     28      0
     28      0   dc22      2     10     22   c02d      1      2     22   c02d
     29      0   bc08      1      2     22   c02d      1      2      8      4
      8      0     13      1      2      8      0      2     28      8      4
      9      0      d      2     28      8      0      3      1      8      4
      a      0   c02d      3      1      8      4      2     28     2d      0
     2d      0   dc20      2     28     2d      0      1      2     20     13
     2e      0   dc1e      1      2     1e      0      0      0     1e      0
     2f      0   bc0d      0      0     1e      0      0      0      d      0
      d      0   d820      0      0      d      0      1     28     20     13
      e      0   d822      1     28     20     13      2     10     22   c02d
      f      0      d      2     10     22      0      3      0     22   c02d
     10      0   c032      3      0     22   c02d      2     10     32   a425
     11      0   dc20      2     10     32   a425      1     28     20     13
     12      0   dc22      1     28     20     13      0      0     22   c02d
     13      0   d822      0      0     22   c02d      1     28     22   c02d
     14      0   d820      1     28     22   c02d      2     10     20     13
     15      0   d81e      2     10     1e      0      3      2     1e      0
     16      0     14      3      2     1e      0      2     10     1e      0
     17      0     14      2     10     1e      0      1     28     1e      0
     18      0     14      1     28     1e      0      0      0     1e      0
     19      0     18      0      0     1e      0
