                              Before  execution          After  execution

    HEX     HEX   HEX     HEX    HEX    HEX    HEX    HEX    HEX    HEX    HEX

     PC      BR    IR     TOS S[TOS]     EA   (EA)    TOS S[TOS]     EA   (EA)

      c      0   1313      0      0      0      0      2      2      0   dc2f
      d      0      0      2      2      0      0      2      2      0   dc2f
      e      0   dc2c      2      2     2c   980f      1      4     2c   980f
      f      0   dc2b      1      4     2c   980f      0      0     2b   d80d
     10      0      0      0      0     2b      0      0      0     2b   d80d
     11      0      0      0      0     2b      0      0      0     2b   d80d
     12      0   d82b      0      0     2b   d80d      1      4     2b   d80d
     13      0   982c      1      4     2b   d80d      1      2     2c   980f
     14      0   dc2d      1      2     2c   980f      0      0     2d   dc0d
     15      0   c837      0      0     2d   dc0d      1     16     37      0
     37      0   d82b      1     16     37      0      2      4     2b   d80d
     38      0   d82b      2      4     2b   d80d      3      4     2b   d80d
     39      0   bc40      3      4     2b   d80d      3      4     40   a415
     40      0   dc2f      3      4     40   a415      2      4     2f   b00e
     41      0   d82f      2      4     2f   b00e      3      4     2f   b00e
     42      0   b82e      3      4     2f   b00e      4      0     2e   d80d
     43      0   c047      4      0     2e   d80d      3      4     47   dc12
     44      0   b833      3      4     47   dc12      4      0     33      0
     45      0   c04a      4      0     33      0      3      4     4a      0
     46      0   bc0a      3      4     4a      0      3      4      a     e1
      a      0   d82e      3      4      a   d82e      4      1     2e   d80d
      b      0   bc00      4      1     2e   d80d      4      1      0   dc2f
      0      0      6      4      1      0      0      3      3      0   dc2f
      1      0   dc2f      3      3      0   dc2f      2      4     2f   b00e
      2      0   d82f      2      4     2f   b00e      3      3     2f   b00e
      3      0      7      3      3     2f      0      2      c     2f   b00e
      4      0   d82f      2      c     2f   b00e      3      3     2f   b00e
      5      0   b82e      3      3     2f   b00e      4      0     2e   d80d
      6      0   c40a      4      0     2e   d80d      3      3      a   d82e
      a      0   d82e      3      3      a   d82e      4      1     2e   d80d
      b      0   bc00      4      1     2e   d80d      4      1      0   dc2f
      0      0      6      4      1      0      0      3      2      0   dc2f
      1      0   dc2f      3      2      0   dc2f      2      c     2f   b00e
