                              Before  execution          After  execution

    HEX     HEX   HEX     HEX    HEX    HEX    HEX    HEX    HEX    HEX    HEX
      2      0   d82f      2      c     2f   b00e      3      2     2f   b00e
      3      0      7      3      2     2f      0      2     18     2f   b00e
      4      0   d82f      2     18     2f   b00e      3      2     2f   b00e
      5      0   b82e      3      2     2f   b00e      4      0     2e   d80d
      6      0   c40a      4      0     2e   d80d      3      2      a   d82e
      a      0   d82e      3      2      a   d82e      4      1     2e   d80d
      b      0   bc00      4      1     2e   d80d      4      1      0   dc2f
      0      0      6      4      1      0      0      3      1      0   dc2f
      1      0   dc2f      3      1      0   dc2f      2     18     2f   b00e
      2      0   d82f      2     18     2f   b00e      3      1     2f   b00e
      3      0      7      3      1     2f      0      2     18     2f   b00e
      4      0   d82f      2     18     2f   b00e      3      1     2f   b00e
      5      0   b82e      3      1     2f   b00e      4      1     2e   d80d
      6      0   c40a      4      1     2e   d80d      3      1      a   d82e
      7      0   dc2e      3      1      a   d82e      2     18     2e   d80d
      8      0   dc2f      2     18     2e   d80d      1     16     2f   b00e
      9      0   1500      1     16     2f      0      0      0     2f   b00e
     16      0      0      0      0     2f      0      0      0     2f   b00e
     17      0      0      0      0     2f      0      0      0     2f   b00e
     18      0      0      0      0     2f      0      0      0     2f   b00e
     19      0   d82f      0      0     2f   b00e      1     18     2f   b00e
     1a      0   dc30      1     18     2f   b00e      0      0     30     18
     1b      0   c83a      0      0     30     18      1     1c     3a      0
     3a      0   d82c      1     1c     3a      5      2      2     2c   980f
     3b      0   d82c      2      2     2c   980f      3      2     2c   980f
     3c      0   bc40      3      2     2c   980f      3      2     40      0
     40      0   dc2f      3      2     40   dc4c      2      2     2f   b00e
     41      0   d82f      2      2     2f   b00e      3      2     2f   b00e
     42      0   b82e      3      2     2f   b00e      4      0     2e   d80d
     43      0   c047      4      0     2e   d80d      3      2     47      0
     44      0   b833      3      2     47      0      4      0     33     13
     45      0   c04a      4      0     33     13      3      2     4a      0
     46      0   bc0a      3      2     4a      0      3      2      a   b82e
      a      0   d82e      3      2      a   b82e      4      1     2e      0
      b      0   bc00      4      1     2e      0      4      1      0   d82b
      0      0      6      4      1      0      0      3      1      0   d82b
      1      0   dc2f      3      1      0   d82b      2      2     2f   b40f
      2      0   d82f      2      2     2f   b40f      3      1     2f   b40f
      3      0      7      3      1     2f      0      2      2     2f   b40f
      4      0   d82f      2      2     2f   b40f      3      1     2f   b40f
      5      0   b82e      3      1     2f   b40f      4      1     2e   980f
      6      0   c40a      4      1     2e   980f      3      1      a   b82e
      7      0   dc2e      3      1      a   b82e      2      2     2e   980f
      8      0   dc2f      2      2     2e   980f      1     1c     2f   b40f
      9      0   1500      1     1c     2f      0      0      0     2f   b40f
     1c      0      0      0      0     2f      0      0      0     2f   b40f
     1d      0      0      0      0     2f      0      0      0     2f   b40f
     1e      0      0      0      0     2f      0      0      0     2f   b40f
     1f      0   d82f      0      0     2f   b40f      1      2     2f   b40f
     20      0   dc31      1      2     2f   b40f      0      0     31   dc52
     21      0   c83d      0      0     31   dc52      1     22     3d      0
     3d      0   d82d      1     22     3d   dc4a      2      2     2d   d80d
     3e      0   d82d      2      2     2d   d80d      3      2     2d   d80d
     3f      0   bc40      3      2     2d   d80d      3      2     40   dc4c
     40      0   dc2f      3      2     40   dc4c      2      2     2f   b40f
     41      0   d82f      2      2     2f   b40f      3      2     2f   b40f
     42      0   b82e      3      2     2f   b40f      4      0     2e   980f
     43      0   c047      4      0     2e   980f      3      2     47      5
     44      0   b833      3      2     33   d84e      4      0     33   d84e
     45      0   c04a      4      0     33   d84e      3      2     4a   9452
     46      0   bc0a      3      2     4a   9452      3      2      a   b82e
      a      0   d82e      3      2      a   b82e      4      1     2e   980f
      b      0   bc00      4      1     2e   980f      4      1      0      0
      0      0      6      4      1      0      0      3      1      0      0
      1      0   dc2f      3      1      0      0      2      2     2f   b40f
      2      0   d82f      2      2     2f   b40f      3      1     2f   b40f
      3      0      7      3      1     2f      0      2      2     2f   b40f
      4      0   d82f      2      2     2f   b40f      3      1     2f   b40f
      5      0   b82e      3      1     2f   b40f      4      1     2e   980f
      6      0   c40a      4      1     2e   980f      3      1      a   b82e
      7      0   dc2e      3      1      a   b82e      2      2     2e   980f
      8      0   dc2f      2      2     2e   980f      1     22     2f   b40f
      9      0   1500      1     22     2f      0      0      0     2f   b40f
     22      0   d82f      0      0     2f   b40f      1      2     2f   b40f
     23      0      0      1      2     2f      0      1      2     2f   d81e
     24      0      0      1      2     2f      0      1      2     2f   d81e
     25      0      0      1      2     2f      0      1      2     2f   d81e
     26      0   9c31      1      2     31   c810      1      4     31   c810
     27      0   dc33      1      4     31   c810      0      0     33     14
     28      0   d830      0      0     33     14      1     18     30   c809
     29      0   a033      1     18     30   c809      1      6     33     14
     2a      0   1418      1      6     33      0
