                              Before  execution          After  execution

    HEX     HEX   HEX     HEX    HEX    HEX    HEX    HEX    HEX    HEX    HEX

     PC      BR    IR     TOS S[TOS]     EA   (EA)    TOS S[TOS]     EA   (EA)

      0      0     13      0      0      0      0      1      7      0     13
      1      0   dc13      1      7     13      0      0      0     13      0
      2      0   d811      0      0     13      0      1      0     11      a
      3      0   dc11      1      0     11      a      0      0     11      a
      4      0     13      0      0     11      0      1      3     11      a
      5      0   9410      1      3     11      a      1      3     10     1f
      6      0   dc10      1      3     10     1f      0      0     10     1f
      7      0   d811      0      0     10     1f      1      0     11      a
      8      0   9412      1      0     11      a      1      1     12      0
      9      0   dc11      1      1     12      0      0      0     11      a
      a      0   d811      0      0     11      a      1      1     11      a
      b      0   b413      1      1     11      a      2      1     13      0
      c      0   c003      2      1     13      0      1      1      3   dc22
      3      0   dc11      1      1      3   dc22      0      0     11      a
      4      0     13      0      0     11      0      1      b     11      a
      5      0   9410      1      b     11      a      1      e     10     1f
      6      0   dc10      1      e     10     1f      0      0     10     1f
      7      0   d811      0      0     10     1f      1      1     11      a
      8      0   9412      1      1     11      a      1      2     12      0
      9      0   dc11      1      2     12      0      0      0     11      a
      a      0   d811      0      0     11      a      1      2     11      a
      b      0   b413      1      2     11      a      2      1     13      0
      c      0   c003      2      1     13      0      1      2      3      0
      3      0   dc11      1      2      3      0      0      0     11      a
      4      0     13      0      0     11      0      1      a     11      a
      5      0   9410      1      a     11      0      1     18     10      0
      6      0   dc10      1     18     10      0      0      0     10      0
      7      0   d811      0      0     10      0      1      2     11      0
      8      0   9412      1      2     11      0      1      3     12      0
      9      0   dc11      1      3     12      0      0      0     11      0
      a      0   d811      0      0     11      0      1      3     11      0
      b      0   b413      1      3     11      0      2      1     13      0
      c      0   c003      2      1     13      0      1      3      3   c405
      3      0   dc11      1      3      3   c405      0      0     11      0
      4      0     13      0      0     11      0      1      1     11      0
      5      0   9410      1      1     11      0      1     19     10      0
      6      0   dc10      1     19     10      0      0      0     10      0
      7      0   d811      0      0     10      0      1      3     11      0
      8      0   9412      1      3     11      0      1      4     12      0
      9      0   dc11      1      4     12      0      0      0     11      0
      a      0   d811      0      0     11      0      1      4     11      0
      b      0   b413      1      4     11      0      2      1     13      0
      c      0   c003      2      1     13      0      1      4      3   c405
      3      0   dc11      1      4      3   c405      0      0     11      0
      4      0     13      0      0     11      0      1     10     11      0
      5      0   9410      1     10     11      0      1     29     10      0
      6      0   dc10      1     29     10      0      0      0     10      0
      7      0   d811      0      0     10      0      1      4     11      0
      8      0   9412      1      4     11      0      1      5     12      0
      9      0   dc11      1      5     12      0      0      0     11      0
      a      0   d811      0      0     11      0      1      5     11      0
      b      0   b413      1      5     11      0      2      1     13      0
      c      0   c003      2      1     13      0      1      5      3   c405
      3      0   dc11      1      5      3   c405      0      0     11      0
      4      0     13      0      0     11      0      1      9     11      0
      5      0   9410      1      9     11      0      1     32     10      0
      6      0   dc10      1     32     10      0      0      0     10      0
      7      0   d811      0      0     10      0      1      5     11      0
      8      0   9412      1      5     11      0      1      6     12      0
      9      0   dc11      1      6     12      0      0      0     11      0
      a      0   d811      0      0     11     18      1      6     11     18
      b      0   b413      1      6     11     18      2      1     13      0
      c      0   c003      2      1     13      0      1      6      3   c405
      3      0   dc11      1      6      3   c405      0      0     11     18
      4      0     13      0      0     11      0      1     90     11     18
      5      0   9410      1     90     11     18      1     c2     10     14
      6      0   dc10      1     c2     10     14      0      0     10     14
      7      0   d811      0      0     10     14      1      6     11     18
      8      0   9412      1      6     11     18      1      7     12      b
      9      0   dc11      1      7     12      b      0      0     11     18
      a      0   d811      0      0     11     18      1      7     11     18
      b      0   b413      1      7     11     18      2      0     13      3
      c      0   c003      2      0     13      3      1      7      3   c405
      d      0   d810      1      7      3   c405      2     c2     10     14
      e      0   a011      2     c2     10     14      2     1b     11     18
      f      0   1418      2     1b     11      0
