                              Before  execution          After  execution

    HEX     HEX   HEX     HEX    HEX    HEX    HEX    HEX    HEX    HEX    HEX

     PC      BR    IR     TOS S[TOS]     EA   (EA)    TOS S[TOS]     EA   (EA)

      a      0     13      0      0      0      0      1     14      0      0
      b      0   dc01      1     14      1      1      0      0      1      1
      c      0     13      0      0      1      0      1      0      1      1
      d      0   dc02      1      0      1      1      0      0      2     13
      e      0     13      0      0      2      0      1      1      2     13
      f      0   dc03      1      1      2     13      0      0      3   dc01
     10      0     13      0      0      3      0      1      2      3   dc01
     11      0   dc04      1      2      3   dc01      0      0      4     13
     12      0     13      0      0      4      0      1    e1e      4     13
     13      0   dc05      1    e1e      4     13      0      0      5   dc02
     14      0   d800      0      0      5   dc02      1      1      0      0
     15      0   d801      1      1      0      0      2     14      1      1
     16      0   d802      2     14      1      1      3      0      2     13
     17      0      c      3      0      2      0      4      1      2     13
     18      0   c03d      4      1      2     13      3      0     3d      0
     3d      0   dc07      3      0     3d      0      2     14      7   dc03
     3e      0   dc08      2     14      7   dc03      1      1      8     14
     3f      0   d807      1      1      8     14      2      0      7   dc03
     40      0   d808      2      0      7   dc03      3     14      8   d808
     41      0   bc19      3     14      8   d808      3     14     19   dc04
     19      0   dc02      3     14     19   dc04      2      0      2     13
     1a      0   dc01      2      0      2     13      1      1      1      1
     1b      0   d802      1      1      1      1      2     14      2     13
     1c      0   d803      2     14      2     13      3      1      3   dc01
     1d      0      c      3      1      3      0      4      1      3   dc01
     1e      0   c042      4      1      3   dc01      3      1     42      0
     42      0   dc07      3      1     42   d832      2     14      7   dc03
     43      0   dc08      2     14      7   dc03      1      1      8   d808
     44      0   d807      1      1      8   d808      2      1      7   dc03
     45      0   d808      2      1      7   dc03      3     14      8   d808
     46      0   bc1f      3     14      8   d808      3     14     1f      c
     1f      0   dc03      3     14     1f      c      2      1      3   dc01
     20      0   dc02      2      1      3   dc01      1      1      2     13
     21      0   d803      1      1      2     13      2     14      3   dc01
     22      0   d804      2     14      3   dc01      3      2      4     13
     23      0      c      3      2      4      0      4      1      4     13
     24      0   c047      4      1      4     13      3      2     47      2
