                              Before  execution          After  execution

    HEX     HEX   HEX     HEX    HEX    HEX    HEX    HEX    HEX    HEX    HEX
     47      0   dc07      3      2     47      2      2     14      7   dc03
     48      0   dc08      2     14      7   dc03      1      1      8   d808
     49      0   d807      1      1      8   d808      2      2      7   dc03
     4a      0   d808      2      2      7   dc03      3     14      8   d808
     4b      0   bc25      3     14      8   d808      3     14     25      c
     25      0   dc04      3     14     25      c      2      2      4     13
     26      0   dc03      2      2      4     13      1      1      3   dc01
     27      0   d804      1      1      3   dc01      2     14      4     13
     28      0   d805      2     14      4     13      3    e1e      5   dc02
     29      0      c      3    e1e      5      0      4      0      5   dc02
     2a      0   c04c      4      0      5   dc02      3    e1e     4c      0
     2b      0   dc05      3    e1e     4c      0      2     14      5   dc02
     2c      0   dc04      2     14      5   dc02      1      1      4     13
     2d      0   9409      1      1      4     13      1      2      9   bc19
     2e      0   dc09      1      2      9   bc19      0      0      9   bc19
     2f      0   d809      0      0      9   bc19      1      2      9   bc19
     30      0   b006      1      2      9   c415      2      0      6     13
     31      0   c415      2      0      6     13      1      2     15    e1e
     15      0   d801      1      2     15    e1e      2      0      1      2
     16      0   d802      2      0      1      2      3      1      2     13
     17      0      c      3      1      2      0      4      0      2     13
     18      0   c03d      4      0      2     13      3      1     3d      0
     19      0   dc02      3      1     3d      0      2      0      2     13
     1a      0   dc01      2      0      2     13      1      2      1      2
     1b      0   d802      1      2      1      2      2      1      2     13
     1c      0   d803      2      1      2     13      3      2      3   dc01
     1d      0      c      3      2      3      0      4      0      3   dc01
     1e      0   c042      4      0      3   dc01      3      2     42   d832
     1f      0   dc03      3      2     42   d832      2      1      3   dc01
     20      0   dc02      2      1      3   dc01      1      2      2     13
     21      0   d803      1      2      2     13      2      2      3   dc01
     22      0   d804      2      2      3   dc01      3     14      4     13
     23      0      c      3     14      4      0      4      0      4     13
     24      0   c047      4      0      4     13      3     14     47      2
     25      0   dc04      3     14     47      2      2      2      4     13
     26      0   dc03      2      2      4     13      1      2      3   dc01
     27      0   d804      1      2      3   dc01      2     14      4     13
     28      0   d805      2     14      4     13      3    e1e      5   dc02
     29      0      c      3    e1e      5      0      4      0      5   dc02
     2a      0   c04c      4      0      5   dc02      3    e1e     4c      0
     2b      0   dc05      3    e1e     4c      0      2     14      5   dc02
     2c      0   dc04      2     14      5   dc02      1      2      4     13
     2d      0   9409      1      2      4     13      1      4      9   c415
     2e      0   dc09      1      4      9   c415      0      0      9   c415
     2f      0   d809      0      0      9   c415      1      4      9   c415
     30      0   b006      1      4      9   c415      2      0      6     13
     31      0   c415      2      0      6     13      1      4     15    e1e
     15      0   d801      1      4     15    e1e      2      0      1      4
     16      0   d802      2      0      1      4      3      1      2     13
     17      0      c      3      1      2      0      4      0      2     13
     18      0   c03d      4      0      2     13      3      1     3d      0
     19      0   dc02      3      1     3d      0      2      0      2     13
     1a      0   dc01      2      0      2     13      1      4      1      4
     1b      0   d802      1      4      1      4      2      1      2     13
     1c      0   d803      2      1      2     13      3      2      3   dc01
     1d      0      c      3      2      3      0      4      0      3   dc01
     1e      0   c042      4      0      3   dc01      3      2     42      0
     1f      0   dc03      3      2     42      0      2      1      3   dc01
     20      0   dc02      2      1      3   dc01      1      4      2     13
     21      0   d803      1      4      2     13      2      2      3   dc01
     22      0   d804      2      2      3   dc01      3     14      4     13
     23      0      c      3     14      4      0      4      0      4     13
     24      0   c047      4      0      4     13      3     14     47      0
     25      0   dc04      3     14     47      0      2      2      4     13
     26      0   dc03      2      2      4     13      1      4      3   dc01
     27      0   d804      1      4      3   dc01      2     14      4     13
     28      0   d805      2     14      4     13      3    e1e      5   dc02
     29      0      c      3    e1e      5      0      4      0      5   dc02
     2a      0   c04c      4      0      5   dc02      3    e1e     4c      0
     2b      0   dc05      3    e1e     4c      0      2     14      5   dc02
     2c      0   dc04      2     14      5   dc02      1      4      4     13
     2d      0   9409      1      4      4     13      1      8      9   c415
     2e      0   dc09      1      8      9   c415      0      0      9   c415
     2f      0   d809      0      0      9   c415      1      8      9   c415
     30      0   b006      1      8      9   c415      2      0      6     13
     31      0   c415      2      0      6     13      1      8     15    e1e
     15      0   d801      1      8     15    e1e      2      0      1      8
     16      0   d802      2      0      1      8      3      1      2     13
     17      0      c      3      1      2      0      4      0      2     13
     18      0   c03d      4      0      2     13      3      1     3d      0
     19      0   dc02      3      1     3d      0      2      0      2     13
     1a      0   dc01      2      0      2     13      1      8      1      8
     1b      0   d802      1      8      1      8      2      1      2     13
     1c      0   d803      2      1      2     13      3      2      3   dc01
     1d      0      c      3      2      3      0      4      0      3   dc01
     1e      0   c042      4      0      3   dc01      3      2     42      d
     1f      0   dc03      3      2     42      d      2      1      3   dc01
     20      0   dc02      2      1      3   dc01      1      8      2     13
     21      0   d803      1      8      2     13      2      2      3   dc01
     22      0   d804      2      2      3   dc01      3     14      4     13
     23      0      c      3     14      4      0      4      0      4     13
     24      0   c047      4      0      4     13      3     14     47      1
     25      0   dc04      3     14     47      1      2      2      4     13
     26      0   dc03      2      2      4     13      1      8      3   dc01
     27      0   d804      1      8      3   dc01      2     14      4     13
     28      0   d805      2     14      4     13      3    e1e      5   dc02
     29      0      c      3    e1e      5      0      4      0      5   dc02
     2a      0   c04c      4      0      5   dc02      3    e1e     4c     14
     2b      0   dc05      3    e1e     4c     14      2     14      5   dc02
     2c      0   dc04      2     14      5   dc02      1      8      4     13
     2d      0   9409      1      8      4     13      1     10      9      c
     2e      0   dc09      1     10      9      c      0      0      9      c
     2f      0   d809      0      0      9      c      1     10      9      c
     30      0   b006      1     10      9   c415      2      0      6     13
     31      0   c415      2      0      6     13      1     10     15    e1e
     15      0   d801      1     10     15    e1e      2      0      1     10
     16      0   d802      2      0      1     10      3      1      2     13
     17      0      c      3      1      2      0      4      0      2     13
     18      0   c03d      4      0      2     13      3      1     3d      0
     19      0   dc02      3      1     3d      0      2      0      2     13
     1a      0   dc01      2      0      2     13      1     10      1     10
     1b      0   d802      1     10      1     10      2      1      2     13
     1c      0   d803      2      1      2     13      3      2      3   dc01
     1d      0      c      3      2      3      0      4      0      3   dc01
     1e      0   c042      4      0      3   dc01      3      2     42      6
     1f      0   dc03      3      2     42      3      2      1      3   dc01
     20      0   dc02      2      1      3   dc01      1     10      2     13
     21      0   d803      1     10      2     13      2      2      3   dc01
     22      0   d804      2      2      3   dc01      3     14      4     13
     23      0      c      3     14      4      0      4      0      4     13
     24      0   c047      4      0      4     13      3     14     47      0
     25      0   dc04      3     14     47      0      2      2      4     13
     26      0   dc03      2      2      4     13      1     10      3   dc01
     27      0   d804      1     10      3   dc01      2     14      4     13
     28      0   d805      2     14      4   dc04      3    e1e      5   9409
     29      0      c      3    e1e      5      0      4      0      5   9409
     2a      0   c04c      4      0      5   9409      3    e1e     4c     14
     2b      0   dc05      3    e1e     4c     14      2     14      5   9409
     2c      0   dc04      2     14      5   9409      1     10      4   dc04
     2d      0   9409      1     10      9     10      1     20      9     10
     2e      0   dc09      1     20      9     10      0      0      9     20
     2f      0   d809      0      0      9     20      1     20      9     20
     30      0   b006      1     20      9     20      2      1      6   dc09
     31      0   c415      2      1      6   dc09      1     20     15    e1e
     32      0   d805      1     20     15    e1e      2    e1e      5   9409
     33      0   d804      2    e1e      5   9409      3     14      4   dc04
     34      0   d803      3     14      4   dc04      4      2      3   dc05
     35      0   d802      4      2      3   dc05      5      1      2   c04c
     36      0   d801      5      1      2   c04c      6      0      1      c
     37      0     14      6      0      1      0      5      1      1      c
     38      0     14      5      1      1      0      4      2      1      c
     39      0     14      4      2      1      0      3     14      1      c
     3a      0     14      3     14      1      0      2    e1e      1      c
     3b      0     14      2    e1e      1      0      1     20      1      c
     3c      0     18      1     20      1      0
